0	52.6316	105.263	157.895	210.526	263.158	315.789	368.421	421.053	473.684	526.316	578.947	631.579	684.211	736.842	789.474	842.105	894.737	947.368	1000
5	14.1509	9.06068	7.82577	8.18599	8.48155	8.45793	8.41004	8.4077	8.4148	8.41609	8.4152	8.41493	8.41506	8.41515	8.41516	8.41517	8.41519	8.41521	8.41522
10	2.39073	1.93415	1.26422	1.05058	1.08819	1.12328	1.12135	1.11563	1.11524	1.11611	1.11632	1.11626	1.11626	1.1163	1.11634	1.11637	1.1164	1.11642	1.11644
10	11.6276	14.0998	16.3499	18.2858	20.1419	22.0482	23.9711	25.8878	27.8004	29.7129	31.6255	33.5378	35.4495	37.3609	39.2721	41.1829	43.0935	45.0039	46.9141
0.001	0.0730762	0.0800995	0.212132	0.382602	0.236157	0.179737	0.168144	0.163859	0.160379	0.158456	0.157773	0.157543	0.157409	0.1573	0.157201	0.157096	0.156978	0.156851	0.156717
3	0.0463158	0.0672687	0.114029	0.0957186	0.0642118	0.0542017	0.0514143	0.0498308	0.0487966	0.0483292	0.0481677	0.0481023	0.0480613	0.0480283	0.0479957	0.0479588	0.0479168	0.0478709	0.0478226
1	0.0988902	0.215709	0.258042	0.232166	0.197887	0.17847	0.170504	0.167273	0.165745	0.165026	0.164736	0.164629	0.164587	0.164569	0.164563	0.164562	0.164563	0.164564	0.164565
0.0002	0.33716	0.447585	0.68283	0.624536	0.461305	0.399881	0.382652	0.373278	0.366988	0.364079	0.363079	0.362671	0.362385	0.362126	0.361853	0.361542	0.361192	0.360814	0.360419
7	4.36114	4.67042	4.0383	3.8443	4.09008	4.25485	4.30725	4.3237	4.33658	4.34578	4.35001	4.35119	4.35096	4.34994	4.34836	4.34643	4.34431	4.3421	4.33987
0.5	1.13577	1.49573	2.02907	1.90612	1.47635	1.28345	1.22558	1.19388	1.1721	1.16159	1.15783	1.15643	1.15573	1.15532	1.15502	1.15468	1.15428	1.15381	1.1533
1	1.10417	1.36164	1.87532	1.86398	1.40361	1.15827	1.08278	1.04678	1.02202	1.00922	1.00438	1.00263	1.00182	1.00139	1.00111	1.00083	1.00048	1.00007	0.99961
3	1.80433	3.3657	3.6228	2.46083	1.81245	1.60899	1.53441	1.48248	1.45127	1.43838	1.43391	1.43192	1.43072	1.42984	1.429	1.42803	1.42692	1.42569	1.4244
0.0004	2.11889	3.87909	4.62572	3.14741	2.28206	2.00695	1.90964	1.84312	1.80202	1.78461	1.77856	1.77595	1.77441	1.77333	1.77231	1.77115	1.76981	1.76833	1.76676
6	3.28504	2.29801	2.07291	1.89639	1.63462	1.42702	1.29851	1.22041	1.17131	1.14154	1.12456	1.11501	1.10932	1.1055	1.10247	1.09968	1.09686	1.09394	1.0909
0.3	0.78116	0.778028	0.776661	0.772898	0.767483	0.763487	0.761236	0.759778	0.758784	0.758196	0.75791	0.757822	0.757864	0.757994	0.758185	0.758414	0.758667	0.758933	0.759203
0.3	3.34637	3.42729	3.43691	3.47215	3.5184	3.52681	3.50964	3.484	3.45518	3.4245	3.39334	3.36287	3.33366	3.30594	3.27977	3.25514	3.232	3.21027	3.18987
0.3	0.367753	0.449924	0.51284	0.560932	0.599729	0.630573	0.653461	0.669464	0.680018	0.686346	0.689438	0.690112	0.689032	0.686714	0.683552	0.679843	0.675805	0.6716	0.667342
0.08	0.48868	0.368264	0.394414	0.489031	0.565135	0.589735	0.602393	0.611772	0.61706	0.619518	0.620658	0.621124	0.621145	0.620872	0.620422	0.619869	0.619258	0.618618	0.61797
0.1	0.674446	0.810686	0.87629	1.1167	1.35235	1.43768	1.45869	1.46817	1.47554	1.47954	1.48102	1.48156	1.48188	1.48218	1.4825	1.48288	1.48334	1.48385	1.4844
3.16228e-06	1.05558e-06	6.40648e-07	1.11795e-06	1.7376e-06	1.72395e-06	1.61731e-06	1.60727e-06	1.62202e-06	1.62538e-06	1.62344e-06	1.62259e-06	1.62269e-06	1.62275e-06	1.62266e-06	1.62257e-06	1.62251e-06	1.62246e-06	1.62241e-06	1.62236e-06
0.1	0.242352	0.350249	0.448514	0.662383	0.951993	1.17111	1.30772	1.39539	1.45187	1.48699	1.50835	1.52128	1.52902	1.53354	1.53607	1.5374	1.538	1.53818	1.53811
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	14.1511	9.06196	7.82726	8.18736	8.48287	8.45927	8.41138	8.40904	8.41615	8.41743	8.41654	8.41627	8.4164	8.41649	8.4165	8.41651	8.41653	8.41655	8.41657
1e-06	1.12261e-06	1.17649e-06	1.11626e-06	1.0668e-06	1.06769e-06	1.07489e-06	1.07559e-06	1.07456e-06	1.07433e-06	1.07447e-06	1.07452e-06	1.07452e-06	1.07451e-06	1.07452e-06	1.07453e-06	1.07453e-06	1.07453e-06	1.07454e-06	1.07454e-06
4e-08	3.59131e-08	3.41171e-08	3.61248e-08	3.77733e-08	3.77436e-08	3.75036e-08	3.74802e-08	3.75145e-08	3.75223e-08	3.75178e-08	3.75158e-08	3.75161e-08	3.75162e-08	3.7516e-08	3.75158e-08	3.75156e-08	3.75155e-08	3.75154e-08	3.75153e-08
3	0.0198471	0.00308663	0.00658228	0.018632	0.0204111	0.0176755	0.0171372	0.0174555	0.017578	0.0175419	0.0175166	0.0175169	0.0175188	0.0175172	0.0175151	0.0175136	0.0175124	0.0175112	0.0175102
0.2	0.123604	0.2301	0.243338	0.217788	0.193081	0.180051	0.174777	0.172527	0.171426	0.170921	0.170725	0.170653	0.170624	0.170612	0.170609	0.170608	0.170609	0.17061	0.170611
